date,symbol,Adjusted,Close,High,Low,Open,Volume
2011-12-06,AAPL,48.595142,55.849998,56.375713,55.625713,56.072857,70899500
2011-12-07,AAPL,48.363937,55.584286,55.848572,55.251427,55.704285,76186600
2011-12-08,AAPL,48.559093,55.808571,56.5,55.747143,55.921429,94089100
2011-12-09,AAPL,48.927029,56.23143,56.291428,55.861427,56.121429,74248300
2011-12-12,AAPL,48.705765,55.977142,56.271427,55.635715,55.954285,75266800
2011-12-13,AAPL,48.329144,55.544285,56.485714,55.299999,56.142857,84732200
2011-12-14,AAPL,47.257664,54.312859,55.34,53.954285,55.242859,101721900
2011-12-15,AAPL,47.102306,54.134285,54.82,54.044285,54.761429,64050000
2011-12-16,AAPL,47.36084,54.431427,54.878571,54.224285,54.337143,105369600
2011-12-19,AAPL,47.508759,54.601429,54.978573,54.354286,54.638573,58882600
2011-12-20,AAPL,49.216629,56.564285,56.585712,55.322857,55.394287,84303800
2011-12-21,AAPL,49.278793,56.635715,56.757141,56.001427,56.669998,65737000
2011-12-22,AAPL,49.539814,56.935715,57.01857,56.585712,56.714287,50589700
2011-12-23,AAPL,50.133961,57.618572,57.655716,57.07,57.098572,67349800
2011-12-27,AAPL,50.531731,58.075714,58.441429,57.574287,57.585712,66269000
2011-12-28,AAPL,50.04821,57.52,58.32143,57.334286,58.127144,57165500
2011-12-29,AAPL,50.35648,57.874287,57.950001,57.215714,57.628571,53994500
2011-12-30,AAPL,50.341557,57.857143,58.040001,57.64143,57.644287,44915500
2012-01-03,AAPL,51.115936,58.747143,58.92857,58.42857,58.485714,75555200
2012-01-04,AAPL,51.390648,59.062859,59.240002,58.468571,58.57143,65005500
2012-01-05,AAPL,51.961189,59.718571,59.792858,58.952858,59.278572,67817400
2012-01-06,AAPL,52.504375,60.342857,60.392857,59.888573,59.967144,79573200
2012-01-09,AAPL,52.421093,60.247143,61.107143,60.192856,60.785713,98506100
2012-01-10,AAPL,52.608791,60.462856,60.857143,60.214287,60.844284,64549100
2012-01-11,AAPL,52.523026,60.364285,60.407143,59.901428,60.382858,53771200
2012-01-12,AAPL,52.378838,60.19857,60.414288,59.82143,60.325714,53146800
2012-01-13,AAPL,52.182446,59.972858,60.064285,59.808571,59.957142,56505400
2012-01-17,AAPL,52.790268,60.671429,60.855713,60.422855,60.599998,60724300
2012-01-18,AAPL,53.338432,61.30143,61.352856,60.900002,60.994286,69197800
2012-01-19,AAPL,53.169384,61.107143,61.624287,60.93,61.450001,65434600
2012-01-20,AAPL,52.243343,60.042858,61.07143,59.964287,61.07,103493600
2012-01-23,AAPL,53.127125,61.058571,61.207142,60.328571,60.381428,76515600
2012-01-24,AAPL,52.257015,60.058571,60.728573,59.935715,60.728573,136909500
2012-01-25,AAPL,55.519905,63.808571,64.921425,63.389999,64.919998,239578500
2012-01-26,AAPL,55.267567,63.51857,64.112854,63.305714,64.05143,80996300
2012-01-27,AAPL,55.596966,63.897144,64.068573,63.395714,63.477142,74927300
2012-01-30,AAPL,56.309212,64.715714,64.842857,63.627144,63.672855,94835300
2012-01-31,AAPL,56.740505,65.211426,65.46286,64.724289,65.084282,97920900
2012-02-01,AAPL,56.704494,65.169998,65.57,65.078575,65.487144,67511500
2012-02-02,AAPL,56.571476,65.017143,65.309998,64.854286,65.128571,46699100
2012-02-03,AAPL,57.138283,65.668571,65.714287,65.080002,65.328575,71649900
2012-02-06,AAPL,57.671532,66.281425,66.425713,65.457146,65.482857,62353200
2012-02-07,AAPL,58.275627,66.975716,67.10714,66.368568,66.464287,79055900
